Drug	Target	Combine_score	BioScore	PredictScore	LiteScore
Dexamethasone	SPINK1	0.999999991	0	0	0.999999991
Dexamethasone	SGCB	1	0	0	1
Dexamethasone	MEF2A	0.716015595	0	0	0.716015595
Dexamethasone	IGFBP3	1	0	0	1
Dexamethasone	KIR2DL3	0.999999939	0	0	0.999999939
Dexamethasone	CMPK1	0.142857142857143	0	0.142857142857143	0
Dexamethasone	PLVAP	0.999844714	0	0	0.999844714
Dexamethasone	ARFGEF1	0.952575878	0	0	0.952575878
Dexamethasone	KRT83	0.997198639	0	0	0.997198639
Dexamethasone	PAICS	0.983463425	0	0	0.983463425
Dexamethasone	TAF7L	0.167418915	0	0	0.167418915
Dexamethasone	GRB2	0.999728451	0	0	0.999728451
Dexamethasone	TNC	1	0	0	1
Dexamethasone	AGR2	0.999999998	0	0	0.999999998
Dexamethasone	DLD	0.999999716	0	0	0.999999716
Dexamethasone	CTSD	0.999999881	0	0	0.999999881
Dexamethasone	ITGAM	1	0	0	1
Dexamethasone	VEZF1	0.785885431	0	0	0.785885431
Dexamethasone	FIG4	0.380124354	0	0	0.380124354
Dexamethasone	DMRT1	0.0952380952380952	0	0.0952380952380952	0
Dexamethasone	PPARGC1B	1	0	0.333333333333333	1
Dexamethasone	MBP	1	0	0	1
Dexamethasone	CCL13	0.790101744	0	0	0.790101744
Dexamethasone	HSF1	0.975453491	0.5	0	0.950906982
Dexamethasone	INHBB	0.337556127	0	0	0.337556127
Dexamethasone	PIP	1	0	0	1
Dexamethasone	CRP	1	0	0	1
Dexamethasone	MYOM2	0.99983588	0	0	0.99983588
Dexamethasone	NR1H4	0.999994373	0.5	0	0.999988746
Dexamethasone	MGLL	0.999940467	0	0	0.999940467
Dexamethasone	TNFRSF8	1	0	0	1
Dexamethasone	FOXP3	1	0	0.0952380952380952	1
Dexamethasone	FKBP5	1	0	0	1
Dexamethasone	CIDEA	0.237004358	0	0	0.237004358
Dexamethasone	MX1	0.999841263	0	0	0.999841263
Dexamethasone	MMP12	1	0	0	1
Dexamethasone	HCRT	1	0	0	1
Dexamethasone	ACTA1	1	0	0	1
Dexamethasone	LMO3	0.0952380952380952	0	0.0952380952380952	0
Dexamethasone	IL4R	0.979080508714286	0	0.0952380952380952	0.976878457
Dexamethasone	P10266	1	0	0	1
Dexamethasone	NDRG1	0.997962134	0	0	0.997962134
Dexamethasone	PYM1	0.226370267	0	0	0.226370267
Dexamethasone	CXCR2	1	0	0	1
Dexamethasone	TAC4	0.999884979	0	0	0.999884979
Dexamethasone	CYP11B2	0.794711641	0	0	0.794711641
Dexamethasone	FER	0.998408366	0	0	0.998408366
Dexamethasone	CPB1	1	0	0	1
Dexamethasone	UGCG	0.431408813	0	0	0.431408813
Dexamethasone	VPS11	0.991004624	0	0	0.991004624
Dexamethasone	NEFH	0.999520848	0	0	0.999520848
Dexamethasone	PDZD2	0.916721666	0	0	0.916721666
Dexamethasone	MACC1	0.752702086	0	0	0.752702086
Dexamethasone	TBX1	1	0	0	1
Dexamethasone	MUT	1	0	0	1
Dexamethasone	ABCC5	0.846211179	0	0	0.846211179
Dexamethasone	OLR1	1	0	0	1
Dexamethasone	DNM1	0.999992627	0	0	0.999992627
Dexamethasone	ELOVL3	0.990947136	0	0	0.990947136
Dexamethasone	TRRAP	0.762620925	0	0	0.762620925
Dexamethasone	BAX	1	0	0	1
Dexamethasone	COMT	1	0	0	1
Dexamethasone	CSF1	1	0	0	1
Dexamethasone	FBXW11	0.978460118	0	0	0.978460118
Dexamethasone	IFNA17	1	0	0	1
Dexamethasone	MBL2	1	0	0	1
Dexamethasone	GMDS	0.735926088	0	0	0.735926088
Dexamethasone	E2F4	0.999063676	0	0	0.999063676
Dexamethasone	EGR3	1	0	0	1
Dexamethasone	DNMT1	1	0	0	1
Dexamethasone	BPI	0.0952380952380952	0	0.0952380952380952	0
Dexamethasone	TACR1	0.999999949	0	0	0.999999949
Dexamethasone	BDKRB1	0.933669152	0	0	0.933669152
Dexamethasone	CSF3	1	0	0	1
Dexamethasone	DDIT4L	0.206486443	0	0	0.206486443
Dexamethasone	AGFG1	1	0	0	1
Dexamethasone	AP3B1	0.999999938	0	0	0.999999938
Dexamethasone	BRD1	0.987006676	0	0	0.987006676
Dexamethasone	SLC25A22	0.998872685	0	0	0.998872685
Dexamethasone	SERF1B	0.592529133	0	0	0.592529133
Dexamethasone	AP1AR	0.983428507	0	0	0.983428507
Dexamethasone	ATRX	0.999080486	0	0	0.999080486
Dexamethasone	CHID1	0.999210799	0	0	0.999210799
Dexamethasone	SERPINA7	0.999935045	0	0	0.999935045
Dexamethasone	RASA1	1	0	0	1
Dexamethasone	PDYN	0.999992914	0	0	0.999992914
Dexamethasone	CD274	1	0	0	1
Dexamethasone	POU3F2	0.999977571	0	0	0.999977571
Dexamethasone	SLC26A2	0.519264016	0	0	0.519264016
Dexamethasone	CHODL	1	0	0	1
Dexamethasone	JAK1	0.999999843	0	0	0.999999843
Dexamethasone	CNTN1	0.99999897	0	0	0.99999897
Dexamethasone	VPS72	1	0	0	1
Dexamethasone	MIA	0.999999118	0	0	0.999999118
Dexamethasone	PTK6	0.508696856	0	0	0.508696856
Dexamethasone	NODAL	1	0	0	1
Dexamethasone	MMP9	1	0	0	1
Dexamethasone	DDIT4	0.999859965	0	0	0.999859965
Dexamethasone	CRX	0.999779433	0	0	0.999779433
Dexamethasone	NES	1	0	0	1
Dexamethasone	EDN2	1	0	0	1
Dexamethasone	ADAM10	0.999990777	0	0	0.999990777
Dexamethasone	OR52B4	0.263845701	0	0	0.263845701
Dexamethasone	MT1B	0.264989319	0	0	0.264989319
Dexamethasone	CCK	1	0	0	1
Dexamethasone	RAF1	1	0	0	1
Dexamethasone	C9ORF3	1	0	0	1
Dexamethasone	CFL1	0.999980629	0	0	0.999980629
